LogMonth,FilterID,Freq
201905,342,570
201905,345,60
201905,346,336
201905,351,102
201905,354,1580
201905,358,2
201905,364,5054
201905,365,603
201905,380,3527
201905,384,15972
201905,39,867
201905,391,1910
201905,397,142
201905,420,98
201905,425,119
201905,432,3345
201905,46,1652
201905,464,4
201905,466,262
201905,478,80
201905,491,1866
201905,499,1461
201905,5,46
201905,50,1652
201905,51,1102
201905,52,25
201905,527,38231
201905,547,83
201905,550,3351
201905,559,76
201905,579,81
201905,58,47
201905,59,50
201905,597,18
201905,600,188
201905,602,465
201905,61,21517
201905,614,4322
201905,627,731
201905,630,490
201905,631,1551
201905,633,4763
201905,636,15476
201905,637,36
201905,639,6
201905,642,4
201905,643,209
201905,655,336
201905,657,466
201905,664,421
201905,667,86
201905,68,43
201905,680,2313
201905,686,5829
201905,694,5
201905,702,61
201905,711,716
201905,712,3666
201905,716,803
201905,718,3
201905,733,395
201905,735,301
201905,739,17
201905,740,1
201905,751,5
201905,752,2076
201905,753,954
201905,766,51
201905,767,25
201905,768,21
201905,777,129
201905,782,128
201905,783,20
201905,788,22
201905,79,939
201905,793,123
201905,798,5
201905,80,293
201905,803,1737
201905,806,942
201905,809,85
201905,812,42
201905,815,4
201905,821,1
201905,826,16
201905,828,9
201905,833,13776
201905,835,8
201905,837,642
201905,846,705
201905,847,19
201905,850,177
201905,856,14
201905,860,30
201905,861,31
201905,862,47
201905,864,8
201905,865,8
201905,867,2255
201905,868,8
201905,869,427
201905,871,3
201905,874,293
201905,877,52
201905,878,530
201905,880,3
201905,881,9
201905,885,14
201905,887,387
201905,889,1
201905,890,532
201905,891,222
201905,892,412
201905,894,251
201905,898,148
201905,899,70
201905,901,17
201905,906,18
201905,909,11
201905,915,3
201905,921,189
201905,926,96
201905,928,49
201905,930,210
201905,932,7
201905,935,561
201905,936,14
201905,937,6
201905,942,1043
201905,944,88
201905,953,279
201905,954,25
201905,955,34
201905,957,4629
201905,958,18
201905,960,49
201905,961,7
201905,963,136
201905,964,1832
201905,965,422
201905,970,3470
201905,973,116
201905,974,106
201905,978,232
201905,979,22
201905,98,363
201905,980,8
201905,981,1052
201905,982,89
201905,984,28
201905,986,33
