	af_id,	af_pattern,	af_user,	af_user_text,	af_timestamp,	af_enabled,	af_comments,	af_public_comments,	af_hidden,	af_hit_count,	af_throttled,	af_deleted,	af_actions,	af_global,	af_group
56,"	article_namespace != 8 
& !""bot"" in user_groups & (
   formatting := ""(Proxy-Connection: keep-alive|notranslate|myEventWatcherDiv|QuickiWiki Look Up|application/x-datavault|end_of_the_skype_highlighting|inlineAdmedialink|_clearly_component|ktg6us78hf8vdu7|xunlei_com_thunder_helper_plugin)"";
  added_lines rlike formatting & (
    !removed_lines rlike formatting
  )
)",35543,	Lustiger seth,	20181202190841,1,"	[[Wikipedia:Bearbeitungsfilter/56]]
Code von http://en.wikipedia.org/wiki/Special:AbuseFilter/345",	QuickiWiki Look Up-Filter,0,190,0,0,"	warn,disallow",0,	default
150,,2379,	Seewolf,	20151112053206,0,,	Raum-Frankfurt-IP gemäss SG-Entscheid [[Wikipedia:Schiedsgericht/Anfragen/Raum-Frankfurt-IP#Zusammenfassung_der_Entscheidung]],1,183,0,0,	disallow,0,	default
132,,35543,	Lustiger seth,	20160304204505,0,"	23.07.2013/Filzstift, ursprünglich ipv6-Edits-Markierungen, jetzt frei",	ipv6 Edits markieren,0,175,0,1,,0,	default
273,,35543,	Lustiger seth,	20190330105712,1,,	zu viele externe Links in nicht-wiki-artigem Text (vermuteter Link-Spam),1,171,0,0,	disallow,0,	default
27,"	action == 'edit' 
& article_namespace == 0
& added_links rlike ""^(?:.(?!archive\.org))+\bgeocities\.(?!(?:co\.)jp|ws)""",1859,	Filzstift,	20130605150228,0,"	05.06.2013: als gelöscht markiert, da seit langem deaktiviert

siehe http://de.wikipedia.org/w/index.php?title=Wikipedia:Missbrauchsfilter/Anträge&oldid=65705279#Geocities",	geocities-Abschaltung,0,162,0,1,	warn,0,	default
101,,35543,	Lustiger seth,	20151201224128,0,,"	Sperrumgehung, keine Besserung erkennbar: Anomalie01",1,156,0,0,	disallow,0,	default
106,,1859,	Filzstift,	20190325125355,0,,"	Sperrumgehung, keine Besserung erkennbar: noebse",1,145,0,1,,0,	default
44,"	action == ""edit""
& article_namespace == 0
& (user_age == 0 | user_age < 1000000)
& rcount(""lexikon-der-wehrmacht\.de"",added_lines) != rcount(""lexikon-der-wehrmacht\.de"",removed_lines)",35543,	Lustiger seth,	20150127210222,1,	ab 2011-05-08: siehe [[MediaWiki_Diskussion:Spam-blacklist/Archiv/2011#lexikon-der-wehrmacht.de]],	Untauglicher externer Link (zweifelhafte Quellen durch Neuaccounts),0,141,0,0,"	warn,disallow",0,	default
21,"	action==""edit""
& article_namespace==0
& ( ip_in_range(user_name, ""83.76.128.0/17"")
  | ip_in_range(user_name, ""83.77.128.0/17"")
  | ip_in_range(user_name, ""83.78.0.0/16"") 
  | ip_in_range(user_name, ""83.79.0.0/16"") 
  | ip_in_range(user_name, ""85.0.128.0/17"") 
  | ip_in_range(user_name, ""85.1.0.0/16"") 
  | ip_in_range(user_name, ""85.3.0.0/16"") 
  | ( user_groups contains ""user"" 
    & user_editcount < 10)
)
& ( removed_lines contains ""[[Kategorie:Ort im Elsass]]""
  | ( old_wikitext rlike ""insee\s*=\s*6[78]""
    & added_lines rlike ""{|.*1999.*|}"")
)",35543,	Lustiger seth,	20140530163707,0,"	* betrifft Ranges von Edgar von Webern und neue Konten mit weniger als 10 Beiträgen, die unsinnige Kategorisierungen massenhaft vornehmen, vgl. http://de.wikipedia.org/wiki/Spezial:Beitr%C3%A4ge/83.76.151.1 und http://de.wikipedia.org/wiki/Wikipedia:Checkuser/Anfragen/Archiv/2009-1#.2815._Februar.29_-_Nachfolgeanfrage_zur_Abfrage_vom_9._Februar_2008_.28Sonja_Sunkist_VI.2FEdgar_von_Webern.29

* Da er jetzt die Ziele variiert, mal das Entfernen von 'Ort im Elsass' verboten.

* Einfügen von Bevölkerungstabellen verboten, vgl. http://de.wikipedia.org/wiki/Spezial:Beiträge/Bergholtz

auf nur Loggen, siehe http://de.wikipedia.org/w/index.php?title=Benutzer_Diskussion:Entlinkt&curid=2489244&diff=88113009&oldid=87559195
Hozro 25/04/2011","	Sperrumgehung, keine Besserung erkennbar: Edgar von Webern",0,136,0,0,,0,	default
238,"	action = ""edit""
&
 (ip_in_range(user_name, ""101.182.0.0/16"") |
  ip_in_range(user_name, ""117.53.138.161/32"") |
  ip_in_range(user_name, ""202.45.119.0/24""))
& ( summary irlike ""system of a down""
  |  old_wikitext irlike ""(diskogra(f|ph)ie|studioalben|livealben)"")",2379,	Seewolf,	20161115041909,1,,	Diskografiefälscher,0,133,0,0,	disallow,0,	default
203,,39066,	MBq,	20180706082905,0,,	Krankenkassenblock,1,130,0,1,	disallow,0,	default
104,,2379,	Seewolf,	20151209105452,0,,	Guildo Horn-Troll,1,126,0,1,,0,	default
176,,2379,	Seewolf,	20180414074434,0,,	Messina 3,1,126,0,0,	disallow,0,	default
169,,2379,	Seewolf,	20181203002607,0,,	Orientalist hinterhereditieren,1,123,0,0,	disallow,0,	default
53,,1859,	Filzstift,	20130605150146,0,,	Mach mal langsam,1,121,0,1,"	throttle,disallow",0,	default
97,,2379,	Seewolf,	20150103180830,0,,	Spielwiesenvandale,1,119,0,0,,0,	default
151,,35543,	Lustiger seth,	20151116214241,0,,"	Sperrumgehung, keine Besserung erkennbar: Ekkenekepen sowie Nüdli",1,117,0,0,	disallow,0,	default
13,,39066,	MBq,	20180706082936,0,,	Propaganda,1,116,0,1,	disallow,0,	default
18,"	article_namespace==0
& action==""edit""
& edit_delta > -50
& edit_delta < 50
& user_name rlike ""^93\.207\.(?:\d\d|1[01]\d|12[0-7])\.""
& ( count(""größer"",added_lines) < count(""größer"",removed_lines)
  | count(""handle"",added_lines) < count(""handle"",removed_lines)
  | rcount(""[hH]erren"",added_lines) < rcount(""[hH]erren"",removed_lines)
  | count(""hl."",added_lines) < count(""hl."",removed_lines)
  | rcount(""[kK]idnap"",added_lines) < rcount(""[kK]idnap"",removed_lines)
  | count("" Kirche"",added_lines) < count("" Kirche"",removed_lines)
  | count(""konzeptionier"",added_lines) < count(""konzeptionier"",removed_lines)
  | rcount("" Mal\b"",added_lines) < rcount("" Mal\b"",removed_lines)
  | count(""ithilfe"",added_lines) < count(""ithilfe"",removed_lines)
  | count(""destotrotz"",added_lines) < count(""destotrotz"",removed_lines)
  | count(""öfters"",added_lines) < count(""öfters"",removed_lines)
  | rcount(""P[Kk][Ww]s"",added_lines) < rcount(""P[Kk][Ww]s"",removed_lines)
)",35543,	Lustiger seth,	20181125184319,0,"	siehe [[WP:Missbrauchsfilter/3]]
2018-11-25 seth: user vermutlich inaktiv, deshalb regel deaktiviert.",	Aehnlicher Edit wie von User Bechterev (Block 4),0,108,0,0,	disallow,0,	default
152,"	article_namespace = 4
& article_text = ""Gesichtete Versionen/Anfragen""
& action = ""edit""
& added_lines contains ""{{Sichten|Artikelname}}""",35543,	Lustiger seth,	20151208221426,0,	[[WP:Missbrauchsfilter/152]],	fehlerhafter Sichtungs-Request,0,105,0,1,,0,	default
233,"	action == 'edit' 
&   user_name == 'AsuraBot'  
&   article_prefixedtext == 'Wikipedia:Spielwiese'",24551,	Doc Taxon,	20160717213455,0,"	die nicht ganz korrekten Spielwiese-Rücksetzungen von AsuraBot werden unterdrückt, bis er auf die Ansprachen reagiert. Dadurch entstand BotWar mit TaxonBot, da er den Job übernommen hat, denn AsuraBot/sitic meldet sich eigentlich nie zurück und die Spielwiese steht lange ohne Rücksetzungen da",	Spielwiese BotWar,0,99,0,0,	disallow,0,	default
