	af_id	af_hidden	af_global	af_enabled	af_deleted	af_throttled	af_group	af_timestamp	af_actions	af_hit_count	af_public_comments	manual_tags	notes
210	813	1	0	1	0	0	default	20170605190253	disallow	1879	Bee movie script	misc	hidden
211	766	0	0	1	0	0	default	20181209191741	warn,tag	1866	Alt-right labeling	vandalism	extra tag for politically motivated discrimination? https://en.wikipedia.org/wiki/Triple_parentheses
212	667	1	0	1	0	0	default	20181007162410		1843	Wikipedia:Long-term abuse/Best known for IP	vandalism?, harassment?	hidden; is long-term abuse automatically harassment?
213	768	1	0	1	0	0	default	20171028174754	disallow	1781	AIV disruption	vandalism?	hidden; AIV= Wikipedia:Administrator intervention against vandalism.
214	826	1	0	1	0	0	default	20170206164424	throttle,disallow	1748	Image flag vandal	vandalism	hidden
215	179	1	0	0	1	0	default	20120808231218	disallow	1617	Ongoing attacks	vandalism?, harassment?	hidden, deleted;
216	756	1	0	0	0	0	default	20190104181541	disallow	1601	Banned user vandalism	vandalism	hidden
217	926	1	0	1	0	0	default	20190103224137	disallow	1574	Image vandalism II	vandalism	hidden
218	942	0	0	1	0	0	default	20181128042048		1573	Log edits to protected pages	maintenance	
219	577	0	0	0	1	0	default	20150212173614		1566	VisualEditor bugs: Strange icons	bug	deleted
220	24	0	0	0	1	0	default	20150212173232		1538	Sneaky link vandalism	vandalism	deleted
221	280	0	0	0	1	0	default	20100131230039		1525	New user altering images	vandalism?, good_faith?	deleted; “Disabling for now. Too many hits to be useful.“
222	257	1	0	0	1	0	default	20170511024816	disallow	1505	Sonichu and other repeat vandalism	vandalism	deleted, hidden;
223	620	1	0	0	1	0	default	20160614035352		1498	archive removal by disruptive editors	vandalism?	deleted, hidden;
224	740	1	0	1	0	0	default	20171106152842		1461	Template hijacking	vandalism?	hidden
225	408	1	0	0	1	0	default	20120808231552		1441	really long talk post	misc	hidden, deleted;
226	921	0	0	1	0	0	default	20180703035104	tag	1422	Suspicious claims of nazism	vandalism?, harassment?	
227	475	0	0	0	1	0	feedback	20131003210159		1390	Feedback: Vandalism or libel	vandalism, harassment	deleted
228	358	1	0	0	0	0	default	20151220123259		1358	Od Mishehu's test filter	test	hidden
229	619	1	0	0	0	0	default	20150204222535		1326	Possible covert vandalism	vandalism	hidden
230	652	1	0	0	0	0	default	20180412165059	warn,disallow	1326	Jajadelera	misc	hidden
231	194	0	0	0	1	0	default	20090721035726		1309	Michael Jackson new page vandalism	vandalism	deleted
232	151	0	0	0	1	0	default	20150212173345		1294	Inappropriate Redirects	vandalism?, good_faith?	deleted
233	891	0	0	1	0	0	default	20180328194850	warn,tag	1289	Predatory open access journals	spam?, biased_pov?	
234	892	0	0	1	0	0	default	20181023224029	disallow	1245	RS linked through proxy	bad_style?, misc?	
235	119	0	0	0	1	0	default	20090928191653		1243	Macedonia naming conflict	biased_pov?; political controversy?	deleted;
236	474	0	0	0	1	1	default	20160911183030	disallow	1222	Feedback: Comment with only obscenities	harassment	deleted;
237	47	1	0	0	1	0	default	20160813233958	disallow	1206	Prolific sockpuppeteers	sockpuppetry	deleted, hidden;
238	684	1	0	0	0	0	default	20181018171737	disallow	1192	temporary vandalism	vandalism	hidden;
239	930	0	0	1	0	0	default	20181023224118	disallow	1165	Prevent indexing userspaces by newer users	wiki_policy?	https://en.wikipedia.org/wiki/Wikipedia:Controlling_search_engine_indexing
240	793	1	0	1	0	0	default	20190105142358	disallow	1155	Common spam/scam phone numbers	spam?, vandalism?	hidden
241	675	0	0	0	1	0	default	20160614040653	disallow	1107	Thems the facts vandalism	vandalism	deleted; “moved to filter 614 ~~MA”
242	877	1	0	0	0	0	default	20180814223233		1084	test filter 4	test	hidden
243	253	0	0	0	1	0	default	20091127160929	warn	1015	Signing a non-discussion page	bad_style	deleted
244	134	0	0	0	1	0	default	20090708123137		991	Template deletion notifications transcluded into articles	bug?	deleted
